uid,Дата,1. Мои ежедневные обязанности соответствуют моим ожиданиям,"2. Я горжусь тем, что работаю в своей компании",3.Существующие технологии помогают мне эффективно выполнять работу,4. Решения принимаются оперативно,5. Отделы сотрудничают друг с другом эффективно,6. Внутри подразделения сотрудники оказывают друг другу необходимую поддержку,7. Мне обеспечили безопасные условия труда (рабочее место и оборудование),8. В коллективе я чувствую себя комфортно и безопасно,9. Принятие рискованных решений поощряется,10. Творческая инициатива вознаграждается,11. Я получаю достаточно необходимой для работы информации,12. Я могу свободно высказывать свое мнение,13. Обязанности между сотрудниками компании и/или отдела распределены справедливо,14. Вознаграждение за труд соответствует обязанностям,15. Мои коллеги придерживаются этических норм поведения,16. Мой начальник является образцом профессиональной этики,17. Как долго Вы планируете продолжать свою карьеру в компании?,18. Порекомендовали бы Вы своим друзьям работать в компании?,"19. Оцените нашу компанию как работодателя (от «1» - минимальная оценка, «5» - максимальная оценка)"
u65,21.02.2012 14:27,Частично согласен,Частично согласен,Согласен,Согласен,Частично согласен,Частично согласен,Частично согласен,Частично согласен,Не согласен,Не согласен,Согласен,Согласен,Частично согласен,Частично согласен,Частично согласен,Согласен,1-2 года,возможно да,4
u654,01.02.2012 11:45,Не совсем согласен,Согласен,Не совсем согласен,Не совсем согласен,Не совсем согласен,Согласен,Согласен,Частично согласен,Затрудняюсь ответить,Не согласен,Не согласен,Согласен,Не совсем согласен,Частично согласен,Не совсем согласен,Согласен,1-2 года,не уверен,4
u655,21.02.2012 18:55,Согласен,Частично согласен,Частично согласен,Согласен,Затрудняюсь ответить,Согласен,Согласен,Согласен,Частично согласен,Частично согласен,Согласен,Частично согласен,Согласен,Не совсем согласен,Согласен,Согласен,3-5 лет,возможно да,4
u658,16.02.2012 16:14,Частично согласен,Согласен,Частично согласен,Не совсем согласен,Не совсем согласен,Согласен,Согласен,Согласен,Не согласен,Частично согласен,Согласен,Частично согласен,Согласен,Частично согласен,Согласен,Согласен,более 5 лет,возможно да,4
u660,02.02.2012 14:11,Согласен,Согласен,Затрудняюсь ответить,Согласен,Согласен,Согласен,Согласен,Согласен,Затрудняюсь ответить,Частично согласен,Согласен,Согласен,Согласен,Частично согласен,Согласен,Частично согласен,более 5 лет,конечно да,4
u661,27.02.2012 15:27,Согласен,Частично согласен,Не совсем согласен,Согласен,Затрудняюсь ответить,Согласен,Согласен,Согласен,Затрудняюсь ответить,Согласен,Согласен,Согласен,Согласен,Частично согласен,Согласен,Согласен,2-3 года,конечно да,4
u668,03.02.2012 17:19,Согласен,Согласен,Не согласен,Согласен,Согласен,Согласен,Частично согласен,Согласен,Затрудняюсь ответить,Не совсем согласен,Согласен,Частично согласен,Согласен,Частично согласен,Согласен,Согласен,3-5 лет,конечно да,4
u669,27.02.2012 20:49,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Затрудняюсь ответить,Не совсем согласен,Согласен,Частично согласен,Согласен,Согласен,Согласен,Согласен,более 5 лет,конечно да,5
u677,17.02.2012 11:44,Согласен,Согласен,Частично согласен,Частично согласен,Не совсем согласен,Согласен,Согласен,Согласен,Не совсем согласен,Частично согласен,Согласен,Частично согласен,Согласен,Частично согласен,Согласен,Согласен,1-2 года,возможно да,5
u681,18.02.2012 14:50,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Не совсем согласен,Согласен,Согласен,Согласен,Согласен,Не совсем согласен,Согласен,Согласен,более 5 лет,конечно да,4
u684,01.02.2012 12:09,Частично согласен,Частично согласен,Не совсем согласен,Не совсем согласен,Частично согласен,Согласен,Согласен,Частично согласен,Частично согласен,Не согласен,Не согласен,Не совсем согласен,Затрудняюсь ответить,Не совсем согласен,Частично согласен,Частично согласен,2-3 года,не уверен,3
u687,22.02.2012 18:14,Согласен,Согласен,Согласен,Частично согласен,Частично согласен,Согласен,Согласен,Согласен,Частично согласен,Согласен,Согласен,Частично согласен,Согласен,Частично согласен,Согласен,Согласен,более 5 лет,возможно да,4
u688,22.02.2012 14:14,Частично согласен,Частично согласен,Согласен,Согласен,Затрудняюсь ответить,Согласен,Частично согласен,Согласен,Не согласен,Не согласен,Частично согласен,Частично согласен,Частично согласен,Не согласен,Частично согласен,Согласен,более 5 лет,не уверен,3
u695,16.02.2012 15:58,Не совсем согласен,Согласен,Частично согласен,Не совсем согласен,Частично согласен,Согласен,Согласен,Согласен,Не совсем согласен,Не совсем согласен,Частично согласен,Частично согласен,Согласен,Согласен,Согласен,Согласен,более 5 лет,конечно да,5
u700,18.02.2012 13:48,Согласен,Частично согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Затрудняюсь ответить,Затрудняюсь ответить,Согласен,Согласен,Согласен,Не совсем согласен,Согласен,Согласен,более 5 лет,не уверен,4
u701,03.02.2012 9:31,Согласен,Согласен,Согласен,Согласен,Частично согласен,Согласен,Согласен,Согласен,Не совсем согласен,Не совсем согласен,Частично согласен,Согласен,Согласен,Не совсем согласен,Частично согласен,Согласен,более 5 лет,возможно да,4
u706,21.02.2012 17:48,Частично согласен,Согласен,Затрудняюсь ответить,Частично согласен,Частично согласен,Частично согласен,Не совсем согласен,Согласен,Затрудняюсь ответить,Согласен,Не совсем согласен,Частично согласен,Согласен,Согласен,Согласен,Согласен,более 5 лет,возможно да,5
u710,17.02.2012 17:50,Частично согласен,Согласен,Частично согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Частично согласен,Частично согласен,Согласен,Согласен,Согласен,Частично согласен,Согласен,Согласен,более 5 лет,возможно да,3
u716,18.02.2012 11:01,Согласен,Согласен,Частично согласен,Согласен,Согласен,Согласен,Частично согласен,Согласен,Затрудняюсь ответить,Частично согласен,Согласен,Согласен,Согласен,Частично согласен,Согласен,Согласен,более 5 лет,возможно да,4
u717,19.02.2012 11:26,Согласен,Согласен,Согласен,Согласен,Согласен,Частично согласен,Частично согласен,Согласен,Затрудняюсь ответить,Согласен,Согласен,Согласен,Частично согласен,Согласен,Согласен,Согласен,2-3 года,конечно да,5
u719,25.02.2012 16:55,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Частично согласен,Частично согласен,Частично согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,3-5 лет,возможно да,5
u720,24.02.2012 20:24,Согласен,Согласен,Частично согласен,Не совсем согласен,Частично согласен,Согласен,Согласен,Согласен,Затрудняюсь ответить,Не согласен,Согласен,Согласен,Согласен,Не согласен,Согласен,Согласен,более 5 лет,конечно да,3
u73,19.02.2012 12:53,Частично согласен,Частично согласен,Затрудняюсь ответить,Согласен,Согласен,Согласен,Согласен,Согласен,Затрудняюсь ответить,Затрудняюсь ответить,Согласен,Частично согласен,Согласен,Не совсем согласен,Согласен,Согласен,3-5 лет,возможно нет,3
u730,16.02.2012 15:09,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Не согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,более 5 лет,конечно да,5
u731,01.02.2012 11:09,Частично согласен,Затрудняюсь ответить,Не совсем согласен,Частично согласен,Не совсем согласен,Согласен,Согласен,Частично согласен,Частично согласен,Затрудняюсь ответить,Согласен,Затрудняюсь ответить,Не совсем согласен,Не совсем согласен,Согласен,Частично согласен,3-5 лет,не уверен,4
u732,29.02.2012 13:27,Согласен,Согласен,Согласен,Затрудняюсь ответить,Согласен,Согласен,Согласен,Согласен,Частично согласен,Не совсем согласен,Частично согласен,Не совсем согласен,Не совсем согласен,Частично согласен,Частично согласен,Согласен,менее 1 года,конечно да,5
u739,20.02.2012 15:12,Согласен,Согласен,Согласен,Согласен,Частично согласен,Согласен,Согласен,Согласен,Не согласен,Частично согласен,Согласен,Согласен,Согласен,Частично согласен,Согласен,Согласен,более 5 лет,возможно да,5
u74,17.02.2012 15:10,Согласен,Согласен,Частично согласен,Затрудняюсь ответить,Не совсем согласен,Согласен,Согласен,Согласен,Затрудняюсь ответить,Частично согласен,Не совсем согласен,Согласен,Частично согласен,Частично согласен,Частично согласен,Согласен,более 5 лет,возможно да,5
u747,17.02.2012 17:52,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Не совсем согласен,Частично согласен,Согласен,Согласен,Согласен,Частично согласен,Согласен,Согласен,более 5 лет,конечно да,5
u748,29.02.2012 16:23,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Затрудняюсь ответить,Частично согласен,Согласен,Согласен,Согласен,Согласен,Частично согласен,Согласен,более 5 лет,возможно да,4
u749,01.02.2012 11:01,Не совсем согласен,Согласен,Частично согласен,Не совсем согласен,Не совсем согласен,Частично согласен,Затрудняюсь ответить,Согласен,Затрудняюсь ответить,Частично согласен,Затрудняюсь ответить,Согласен,Частично согласен,Не совсем согласен,Согласен,Согласен,более 5 лет,возможно да,4
u750,20.02.2012 15:12,Согласен,Согласен,Согласен,Частично согласен,Частично согласен,Согласен,Согласен,Согласен,Затрудняюсь ответить,Согласен,Согласен,Частично согласен,Согласен,Согласен,Согласен,Согласен,2-3 года,возможно да,4
u751,16.02.2012 16:22,Согласен,Согласен,Не совсем согласен,Не совсем согласен,Не совсем согласен,Согласен,Не совсем согласен,Согласен,Затрудняюсь ответить,Затрудняюсь ответить,Частично согласен,Частично согласен,Затрудняюсь ответить,Не совсем согласен,Согласен,Не согласен,более 5 лет,конечно да,4
u756,29.02.2012 0:29,Частично согласен,Согласен,Согласен,Частично согласен,Частично согласен,Согласен,Согласен,Согласен,Затрудняюсь ответить,Частично согласен,Согласен,Согласен,Частично согласен,Частично согласен,Согласен,Частично согласен,1-2 года,возможно да,4
u758,02.02.2012 13:29,Согласен,Согласен,Согласен,Согласен,Частично согласен,Частично согласен,Согласен,Согласен,Частично согласен,Согласен,Согласен,Согласен,Частично согласен,Согласен,Согласен,Согласен,более 5 лет,конечно да,5
u759,10.02.2012 16:11,Согласен,Частично согласен,Согласен,Согласен,Не совсем согласен,Согласен,Согласен,Согласен,Не совсем согласен,Затрудняюсь ответить,Частично согласен,Согласен,Согласен,Затрудняюсь ответить,Согласен,Согласен,более 5 лет,конечно да,4
u76,28.02.2012 14:32,Согласен,Согласен,Частично согласен,Частично согласен,Согласен,Согласен,Согласен,Согласен,Частично согласен,Согласен,Частично согласен,Согласен,Согласен,Частично согласен,Не совсем согласен,Согласен,3-5 лет,конечно да,4
u762,02.02.2012 18:20,Не совсем согласен,Согласен,Частично согласен,Не согласен,Не совсем согласен,Частично согласен,Не совсем согласен,Согласен,Не согласен,Частично согласен,Частично согласен,Частично согласен,Частично согласен,Не совсем согласен,Затрудняюсь ответить,Не совсем согласен,2-3 года,возможно да,3
u767,17.02.2012 19:44,Частично согласен,Частично согласен,Согласен,Частично согласен,Согласен,Согласен,Согласен,Согласен,Не согласен,Не согласен,Согласен,Не совсем согласен,Не совсем согласен,Не согласен,Согласен,Согласен,более 5 лет,возможно да,4
u77,17.02.2012 10:30,Согласен,Согласен,Согласен,Частично согласен,Частично согласен,Согласен,Согласен,Согласен,Частично согласен,Частично согласен,Согласен,Согласен,Затрудняюсь ответить,Согласен,Согласен,Согласен,более 5 лет,конечно да,5
u772,01.02.2012 12:15,Согласен,Согласен,Частично согласен,Частично согласен,Не совсем согласен,Согласен,Согласен,Согласен,Затрудняюсь ответить,Не согласен,Частично согласен,Согласен,Согласен,Согласен,Согласен,Согласен,более 5 лет,конечно да,5
u773,20.02.2012 11:57,Согласен,Согласен,Согласен,Затрудняюсь ответить,Не совсем согласен,Частично согласен,Согласен,Согласен,Частично согласен,Частично согласен,Согласен,Частично согласен,Согласен,Согласен,Согласен,Согласен,более 5 лет,конечно да,5
u775,25.02.2012 17:44,Согласен,Согласен,Согласен,Частично согласен,Частично согласен,Согласен,Согласен,Согласен,Не совсем согласен,Не совсем согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,более 5 лет,конечно да,5
u776,03.02.2012 9:27,Согласен,Согласен,Частично согласен,Частично согласен,Согласен,Согласен,Согласен,Согласен,Затрудняюсь ответить,Согласен,Частично согласен,Согласен,Согласен,Частично согласен,Согласен,Согласен,более 5 лет,конечно да,5
u779,28.02.2012 13:18,Согласен,Согласен,Частично согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Частично согласен,Согласен,Частично согласен,Частично согласен,Согласен,Согласен,Частично согласен,Согласен,более 5 лет,конечно да,5
u78,20.02.2012 15:39,Согласен,Согласен,Частично согласен,Частично согласен,Частично согласен,Согласен,Согласен,Согласен,Не совсем согласен,Частично согласен,Частично согласен,Частично согласен,Согласен,Частично согласен,Согласен,Согласен,более 5 лет,конечно да,5
u787,25.02.2012 15:04,Согласен,Согласен,Согласен,Частично согласен,Согласен,Согласен,Согласен,Согласен,Частично согласен,Согласен,Согласен,Согласен,Затрудняюсь ответить,Согласен,Частично согласен,Согласен,более 5 лет,конечно да,5
u790,02.02.2012 6:41,Согласен,Согласен,Частично согласен,Частично согласен,Частично согласен,Частично согласен,Частично согласен,Согласен,Частично согласен,Частично согласен,Частично согласен,Согласен,Согласен,Не совсем согласен,Согласен,Согласен,более 5 лет,конечно да,5
u791,02.02.2012 14:06,Не совсем согласен,Не совсем согласен,Согласен,Не совсем согласен,Не согласен,Не совсем согласен,Согласен,Согласен,Не согласен,Не совсем согласен,Не согласен,Не согласен,Не совсем согласен,Не согласен,Согласен,Затрудняюсь ответить,более 5 лет,не уверен,4
u792,20.02.2012 9:19,Частично согласен,Согласен,Согласен,Частично согласен,Не совсем согласен,Частично согласен,Согласен,Согласен,Затрудняюсь ответить,Не совсем согласен,Не совсем согласен,Согласен,Согласен,Затрудняюсь ответить,Согласен,Согласен,более 5 лет,конечно да,5
u796,17.02.2012 14:27,Согласен,Согласен,Согласен,Частично согласен,Не совсем согласен,Согласен,Согласен,Согласен,Не согласен,Затрудняюсь ответить,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,более 5 лет,конечно да,5
u798,19.02.2012 15:41,Затрудняюсь ответить,Частично согласен,Согласен,Не совсем согласен,Согласен,Частично согласен,Затрудняюсь ответить,Согласен,Не согласен,Не согласен,Согласен,Согласен,Согласен,Не совсем согласен,Затрудняюсь ответить,Согласен,менее 1 года,конечно нет,3
u799,29.02.2012 11:22,Частично согласен,Не согласен,Не совсем согласен,Частично согласен,Частично согласен,Согласен,Частично согласен,Согласен,Не согласен,Согласен,Частично согласен,Частично согласен,Частично согласен,Не согласен,Частично согласен,Не согласен,менее 1 года,не уверен,2
u800,01.02.2012 11:16,Не совсем согласен,Согласен,Согласен,Не совсем согласен,Частично согласен,Частично согласен,Согласен,Частично согласен,Не совсем согласен,Не совсем согласен,Согласен,Частично согласен,Не согласен,Не совсем согласен,Согласен,Согласен,2-3 года,возможно да,4
u801,20.02.2012 16:30,Не совсем согласен,Согласен,Не совсем согласен,Частично согласен,Согласен,Согласен,Согласен,Согласен,Частично согласен,Не согласен,Согласен,Согласен,Согласен,Частично согласен,Согласен,Согласен,менее 1 года,конечно да,5
u802,16.02.2012 14:28,Согласен,Затрудняюсь ответить,Согласен,Согласен,Согласен,Согласен,Частично согласен,Затрудняюсь ответить,Затрудняюсь ответить,Согласен,Частично согласен,Согласен,Согласен,Согласен,Согласен,Согласен,2-3 года,возможно да,5
u806,23.02.2012 15:33,Согласен,Согласен,Согласен,Согласен,Частично согласен,Согласен,Согласен,Согласен,Частично согласен,Согласен,Частично согласен,Согласен,Согласен,Согласен,Согласен,Согласен,более 5 лет,конечно да,4
u810,28.02.2012 12:09,Согласен,Согласен,Согласен,Частично согласен,Частично согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Частично согласен,Согласен,Частично согласен,более 5 лет,конечно да,4
u811,17.02.2012 11:49,Согласен,Частично согласен,Частично согласен,Не совсем согласен,Частично согласен,Частично согласен,Согласен,Согласен,Частично согласен,Не совсем согласен,Частично согласен,Согласен,Не совсем согласен,Не совсем согласен,Согласен,Согласен,1-2 года,возможно да,4
u813,17.02.2012 13:40,Затрудняюсь ответить,Частично согласен,Согласен,Частично согласен,Частично согласен,Согласен,Согласен,Согласен,Не совсем согласен,Не совсем согласен,Частично согласен,Затрудняюсь ответить,Не совсем согласен,Не согласен,Не совсем согласен,Согласен,1-2 года,возможно да,4
u814,21.02.2012 10:43,Согласен,Согласен,Согласен,Согласен,Согласен,Частично согласен,Согласен,Согласен,Согласен,Затрудняюсь ответить,Согласен,Частично согласен,Согласен,Согласен,Согласен,Согласен,3-5 лет,конечно да,5
u818,16.02.2012 16:48,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Частично согласен,Согласен,Затрудняюсь ответить,Не согласен,Согласен,Согласен,Согласен,Затрудняюсь ответить,Согласен,Согласен,1-2 года,конечно да,4
u820,18.02.2012 8:54,Согласен,Согласен,Согласен,Согласен,Частично согласен,Согласен,Согласен,Согласен,Затрудняюсь ответить,Согласен,Согласен,Согласен,Согласен,Не совсем согласен,Согласен,Согласен,более 5 лет,возможно да,4
u824,28.02.2012 15:56,Согласен,Согласен,Согласен,Частично согласен,Частично согласен,Согласен,Согласен,Согласен,Частично согласен,Не совсем согласен,Частично согласен,Согласен,Согласен,Частично согласен,Согласен,Согласен,более 5 лет,возможно да,4
u826,16.02.2012 18:05,Частично согласен,Согласен,Частично согласен,Согласен,Затрудняюсь ответить,Согласен,Согласен,Согласен,Затрудняюсь ответить,Не совсем согласен,Частично согласен,Согласен,Частично согласен,Не совсем согласен,Согласен,Согласен,1-2 года,конечно да,4
u827,23.02.2012 16:55,Согласен,Согласен,Частично согласен,Не согласен,Не согласен,Согласен,Частично согласен,Согласен,Затрудняюсь ответить,Согласен,Согласен,Частично согласен,Частично согласен,Согласен,Согласен,Согласен,более 5 лет,возможно да,5
u831,02.02.2012 13:29,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Затрудняюсь ответить,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,2-3 года,конечно да,5
u839,16.02.2012 16:21,Согласен,Согласен,Согласен,Частично согласен,Частично согласен,Частично согласен,Согласен,Согласен,Затрудняюсь ответить,Затрудняюсь ответить,Согласен,Согласен,Согласен,Частично согласен,Согласен,Согласен,более 5 лет,конечно да,5
u84,16.02.2012 16:25,Согласен,Согласен,Частично согласен,Частично согласен,Частично согласен,Согласен,Согласен,Согласен,Не согласен,Согласен,Согласен,Согласен,Частично согласен,Согласен,Согласен,Согласен,более 5 лет,возможно да,5
u840,01.02.2012 11:45,Согласен,Согласен,Частично согласен,Не согласен,Не совсем согласен,Согласен,Согласен,Согласен,Не совсем согласен,Частично согласен,Не совсем согласен,Согласен,Не согласен,Не совсем согласен,Частично согласен,Согласен,более 5 лет,конечно да,5
u849,20.02.2012 12:05,Не совсем согласен,Согласен,Не совсем согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Не согласен,Не совсем согласен,Согласен,Частично согласен,Согласен,Частично согласен,Согласен,Согласен,3-5 лет,конечно да,4
u850,20.02.2012 18:56,Согласен,Затрудняюсь ответить,Согласен,Согласен,Согласен,Согласен,Частично согласен,Согласен,Затрудняюсь ответить,Согласен,Согласен,Частично согласен,Затрудняюсь ответить,Не совсем согласен,Согласен,Согласен,1-2 года,не уверен,5
u851,16.02.2012 16:37,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Затрудняюсь ответить,Согласен,Согласен,более 5 лет,конечно да,4
u852,20.02.2012 14:07,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Частично согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Частично согласен,Частично согласен,Согласен,Согласен,более 5 лет,возможно да,5
u856,08.02.2012 10:34,Согласен,Согласен,Частично согласен,Не совсем согласен,Не совсем согласен,Согласен,Согласен,Согласен,Не согласен,Частично согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,более 5 лет,конечно да,5
u857,01.02.2012 11:21,Не согласен,Согласен,Не совсем согласен,Не совсем согласен,Частично согласен,Частично согласен,Не совсем согласен,Частично согласен,Не совсем согласен,Не согласен,Не согласен,Частично согласен,Не согласен,Не совсем согласен,Согласен,Не совсем согласен,более 5 лет,возможно да,4
u858,18.02.2012 11:10,Согласен,Согласен,Согласен,Согласен,Частично согласен,Согласен,Согласен,Согласен,Частично согласен,Частично согласен,Согласен,Частично согласен,Согласен,Согласен,Согласен,Согласен,более 5 лет,конечно да,5
u860,28.02.2012 16:19,Согласен,Затрудняюсь ответить,Согласен,Частично согласен,Затрудняюсь ответить,Согласен,Частично согласен,Не совсем согласен,Затрудняюсь ответить,Не согласен,Согласен,Частично согласен,Согласен,Не совсем согласен,Согласен,Согласен,1-2 года,не уверен,3
u861,02.02.2012 10:46,Согласен,Частично согласен,Частично согласен,Частично согласен,Частично согласен,Согласен,Частично согласен,Согласен,Частично согласен,Частично согласен,Частично согласен,Частично согласен,Частично согласен,Не совсем согласен,Частично согласен,Согласен,2-3 года,возможно да,4
u865,29.02.2012 12:27,Согласен,Согласен,Не согласен,Частично согласен,Не согласен,Частично согласен,Согласен,Согласен,Не совсем согласен,Не согласен,Не согласен,Не согласен,Не согласен,Не согласен,Согласен,Согласен,2-3 года,возможно да,3
u869,01.02.2012 16:43,Частично согласен,Согласен,Не совсем согласен,Не совсем согласен,Частично согласен,Частично согласен,Согласен,Согласен,Затрудняюсь ответить,Согласен,Согласен,Согласен,Затрудняюсь ответить,Затрудняюсь ответить,Согласен,Согласен,более 5 лет,конечно да,4
u870,25.02.2012 13:17,Не совсем согласен,Согласен,Согласен,Частично согласен,Затрудняюсь ответить,Не совсем согласен,Согласен,Не совсем согласен,Затрудняюсь ответить,Затрудняюсь ответить,Частично согласен,Согласен,Не согласен,Затрудняюсь ответить,Согласен,Согласен,менее 1 года,возможно да,5
u872,18.02.2012 20:06,Частично согласен,Частично согласен,Согласен,Согласен,Согласен,Согласен,Не совсем согласен,Согласен,Частично согласен,Не совсем согласен,Частично согласен,Согласен,Затрудняюсь ответить,Частично согласен,Согласен,Согласен,2-3 года,конечно да,4
u873,27.02.2012 14:44,Частично согласен,Согласен,Частично согласен,Согласен,Частично согласен,Согласен,Согласен,Согласен,Частично согласен,Не совсем согласен,Не совсем согласен,Частично согласен,Не совсем согласен,Не совсем согласен,Частично согласен,Частично согласен,более 5 лет,возможно да,5
u876,24.02.2012 19:45,Согласен,Затрудняюсь ответить,Не совсем согласен,Затрудняюсь ответить,Не совсем согласен,Согласен,Согласен,Согласен,Частично согласен,Частично согласен,Частично согласен,Согласен,Согласен,Не совсем согласен,Согласен,Согласен,2-3 года,не уверен,3
u877,01.02.2012 13:02,Не совсем согласен,Частично согласен,Согласен,Частично согласен,Частично согласен,Частично согласен,Не согласен,Не совсем согласен,Не согласен,Не согласен,Согласен,Не совсем согласен,Согласен,Согласен,Не совсем согласен,Не согласен,1-2 года,возможно да,4
u882,29.02.2012 8:34,Не совсем согласен,Частично согласен,Согласен,Не совсем согласен,Не совсем согласен,Согласен,Согласен,Согласен,Не согласен,Не совсем согласен,Не совсем согласен,Частично согласен,Затрудняюсь ответить,Не совсем согласен,Согласен,Затрудняюсь ответить,2-3 года,возможно да,4
u890,19.02.2012 12:31,Согласен,Согласен,Частично согласен,Не совсем согласен,Согласен,Согласен,Согласен,Не совсем согласен,Затрудняюсь ответить,Не согласен,Согласен,Согласен,Согласен,Не согласен,Согласен,Не согласен,более 5 лет,конечно да,4
u891,01.02.2012 11:10,Согласен,Согласен,Согласен,Затрудняюсь ответить,Частично согласен,Согласен,Частично согласен,Согласен,Затрудняюсь ответить,Затрудняюсь ответить,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,3-5 лет,возможно да,5
u892,28.02.2012 17:31,Частично согласен,Согласен,Согласен,Согласен,Не совсем согласен,Согласен,Не совсем согласен,Согласен,Затрудняюсь ответить,Согласен,Согласен,Частично согласен,Согласен,Не совсем согласен,Согласен,Согласен,3-5 лет,не уверен,4
u90,16.02.2012 16:27,Согласен,Согласен,Согласен,Согласен,Не согласен,Согласен,Не согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,более 5 лет,конечно да,5
u909,17.02.2012 14:52,Частично согласен,Согласен,Частично согласен,Частично согласен,Частично согласен,Частично согласен,Согласен,Частично согласен,Частично согласен,Не согласен,Частично согласен,Не совсем согласен,Не совсем согласен,Частично согласен,Частично согласен,Согласен,1-2 года,возможно да,3
u91,01.02.2012 11:04,Согласен,Частично согласен,Частично согласен,Затрудняюсь ответить,Частично согласен,Согласен,Не совсем согласен,Согласен,Затрудняюсь ответить,Согласен,Согласен,Согласен,Не совсем согласен,Не согласен,Согласен,Согласен,более 5 лет,возможно да,3
u911,16.02.2012 15:21,Частично согласен,Согласен,Согласен,Частично согласен,Частично согласен,Частично согласен,Не согласен,Затрудняюсь ответить,Не совсем согласен,Не совсем согласен,Не совсем согласен,Не совсем согласен,Частично согласен,Не согласен,Не согласен,Не совсем согласен,2-3 года,возможно да,4
u915,28.02.2012 17:40,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Не согласен,Частично согласен,Частично согласен,Согласен,Согласен,Согласен,Согласен,Согласен,более 5 лет,конечно да,4
u921,21.02.2012 9:49,Частично согласен,Частично согласен,Согласен,Частично согласен,Согласен,Согласен,Частично согласен,Согласен,Затрудняюсь ответить,Не согласен,Согласен,Частично согласен,Не совсем согласен,Не совсем согласен,Частично согласен,Согласен,2-3 года,возможно да,5
u923,27.02.2012 15:10,Согласен,Частично согласен,Согласен,Затрудняюсь ответить,Согласен,Согласен,Согласен,Согласен,Затрудняюсь ответить,Затрудняюсь ответить,Согласен,Согласен,Согласен,Частично согласен,Согласен,Согласен,1-2 года,возможно да,5
u925,21.02.2012 12:06,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Частично согласен,Согласен,Согласен,Согласен,более 5 лет,конечно да,5
u927,17.02.2012 15:56,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Затрудняюсь ответить,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,1-2 года,возможно да,5
u936,01.02.2012 11:24,Согласен,Согласен,Согласен,Согласен,Затрудняюсь ответить,Согласен,Согласен,Согласен,Затрудняюсь ответить,Не совсем согласен,Согласен,Согласен,Затрудняюсь ответить,Не совсем согласен,Согласен,Согласен,более 5 лет,не уверен,4
u939,20.02.2012 12:12,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,2-3 года,возможно да,4
